hospital;link;ratings;total_reviews;location;rating;review
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;Très bonne organisation et meilleur environnement interne.
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 4 étoiles ;Lieu de renommée
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;Des médecins qualifiés, surtout l'hygiène c'est tellement propre❤️❤️
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;Cet hôpital moi je me soigne la bas mais vraiment c'est l'une des meilleures hôpitaux du Sénégal moi depuis mon enfance jusqu'à présent je me soigne la bas mais il y a des médecins et médecines extraordinaires
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 3 étoiles ;Ç est un hôpital militaire
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;C'est l'un des plus grands hôpitaux de Dakar. En plus d'être un hôpital d'instruction des Armées, il a l'un des meilleurs plateaux techniques. Le personnel y est très professionnel et accueillant. Le lieu est aussi très propre, ce qui est le minimum pour une structure de santé.
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 4 étoiles ;Hôpital de niveau 4,une prise en charge rapide avec une garantie morale. Un personnel soignant de qualité, un service impeccable et sérieux.
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 4 étoiles ;C'est l'un des plus grands hôpitaux de Dakar. En plus d'être un hôpital d'instruction des Armées, il a l'un des meilleurs plateaux techniques. Le personnel y est très professionnel et accueillant. Le lieu est aussi très propre, ce qui est le minimum pour une structure de santé.
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;Je suis marocain et j etais hospitalisé a cet hôpital le 5 au 11 février 2020 lors de ma participation au forum syndical mondial à Dakar . Sénégal.... merci infiniment pour tout ce que vous avez fait pour moi
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 4 étoiles ;C'est le meilleur mais il y'a des gens qui n'ont pas leur place là-bas aujourd'hui 15 octobre à 11h7min j'ai appelé pour avoir des renseignements mais celui qui a répondu ma parlé avec beaucoup d'incorrections. Je m'excuse et merci pour d'autres qui s'occupent bien des malades et accompagnants.
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;Ç une hospitalité très organisée
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 2 étoiles ;En tout cas prions de ne pas tomber malade et de n’y jamais avoir accès... surtout les dimanches un seul médecin dans les urgences serait disponible .
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;Une prise en charge de qualité avec un personnel tres accueillant beaucoup d’espaces verts
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 3 étoiles ;Personnel accueillant professionnels
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 3 étoiles ;Lieu Utile et plein d'histoire
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;C'est le meilleur des hôpitaux du senegal bien organisé propres avec un accueil chaleureux
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 4 étoiles ;C'est vrai, l'accueil est un peu minimaliste, l'attente peut être infinie, les moyens sont dérisoires... Mais les médecins de cet hôpital sont extrêmement compétents et sauvent des vies par paquet de 100. Ce sont des grossistes du miracle.
